source_file	line	declaration
config/06A_amendment_parameters.tsv	2	"random_seed	20260728	Fixed before amendment execution"
config/06A_pseudobulk_parameters.tsv	2	"random_seed	20260728	Fixed project-stage seed"
config/06B_regulatory_parameters.tsv	2	"global	random_seed	20260728	Reproducible deterministic analysis"
config/07_replication_parameters.tsv	2	"global	random_seed	20260728	integer	reproducibility	Fixed before validation outcomes are inspected"
config/08B_bulk_validation_parameters.tsv	3	"random_seed	20260729	Fixed before analysis"
config/10C_fap_confounding_parameters.tsv	2	"random_seed	20260731	Frozen before Stage 10C execution."
config/annotation_parameters.tsv	2	"global	random_seed	20260727	integer	reproducibility	Fixed Stage 5C seed"
config/qc_parameters.tsv	2	"global	ALL	random_seed	20260726	integer	reproducibility	Fixed project seed	5A"
config/stage10d_tech_parameters.tsv	6	"identity	seed	20260731	all stochastic procedures	TRUE"
config/stage10d_tech_parameters.tsv	15	"score	minimum_coverage_panels	100	seeded 22-of-30 panels; no panel selection	TRUE"
config/stage10e_desc_parameters.tsv	5	"seed	20260731	Frozen Stage 10 spatial seed"
config/stage10e_parameters.tsv	2	"seed	20260731	Frozen Stage 10 spatial seed."
config/stage10e_r_parameters.tsv	2	"seed	20260731	Frozen deterministic seed"
results/stage10c2_sp/STAGE10C2_SP_LOCK_MANIFEST.tsv	5	"random_seed	STAGE10_SPATIAL_SEED	20260731	557670b7b82e2c019f6e58bba7d74963bcaa27f040d03ff42e38e0cc5cba7907	FROZEN	Applies to all stochastic technical procedures and negative controls."
results/stage10e_desc/STAGE10E_DESC_RUN_MANIFEST.tsv	1	"run_id	patient_id	slide_or_capture_id	h5_sha256	roi_sha256	qc_sha256	common_geneset_sha256	plan_sha256	seed	biological_patient_n	stage10f_started	stage10g_started"
scripts/05A_qc_pilot.R	12	set.seed(20260726)
scripts/05A_qc_pilot.R	264	"""seed=20260726"","
scripts/05B_full_qc_integration.R	35	set.seed(seed)
scripts/05B_full_qc_integration.R	187	set.seed(seed + i)
scripts/05B_full_qc_integration.R	376	seed = seed,
scripts/05B_full_qc_integration.R	397	seed = seed,
scripts/05B_full_qc_integration.R	461	set.seed(seed)
scripts/05B_full_qc_integration.R	468	set.seed(seed)
