Dataset/accession	Analysis role	Lesion types	Hereditary background	Patients/donors or sample-scoped units	Pairing	Statistical unit	Independence/counting rule	Feature coverage for M02	Principal limitation	Source row(s)	Source file
GSE201348	NEGATIVE PRIMARY DISCOVERY | INTERNAL FAP EXPLORATORY SUPPORT	normal mucosa; polyp or adenoma; cancer | normal mucosa to adenoma	mixed FAP and nonFAP with stage imbalance | FAP; germline APC context not separately estimable in current design	14 total donors; eligible state counts normal 6 adenoma 8-9 cancer 3-4 | 4 paired FAP donors	repeated donor stages not fully paired | YES	donor pseudobulk | donor	Count once as discovery/internal FAP evidence	NA | 36	Underpowered donor counts; FAP and stage imbalance; M02 was formed only in a later exploratory amendment | Only four paired FAP patients; sporadic effect and stage by FAP or APC interaction NOT ESTIMABLE; post-hoc stage-blind module	E01;E02	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
GSE161277	DIRECTIONAL SUPPORT ONLY	normal mucosa; adenoma; carcinoma	FAP/APC status not established for project-level generalization	3 matched patients	YES	donor	Count once only regardless of stages or multiple contrasts	36	Only three patients; wide CI; same accession appears in Stage 7 and 10C but is one dataset	E03	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
GSE132465	CANCER ENDPOINT AND EPITHELIAL SPECIFICITY SUPPORT	normal mucosa to cancer	unselected CRC hereditary status not used	8 evaluable matched donors of 23 total	YES	donor	Count once as cancer-endpoint dataset not as early-lesion replication	33	Contains no adenoma endpoint; cannot support adenoma initiation or FAP generalization	E04	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
GSE41657	BULK ADENOMA ASSOCIATION SUPPORT	normal; low-grade adenoma; high-grade adenoma; cancer	hereditary background not reported	NA patient identity; 88 sample-scoped arrays	NO verified pairing	array/sample scoped unit	Count once at accession level; do not claim 88 verified independent patients	29	Patient identifiers not recoverable; colon-versus-rectum unresolved; platform incomplete mapping; not cell-type-specific	E06	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
GSE100179	BULK ADENOMA ASSOCIATION SUPPORT	normal; adenoma; cancer	hereditary background not reported	NA verified patients; 60 sample-scoped arrays	NO verified pairing	array/sample scoped unit	Count once at accession level; do not claim 60 verified independent patients	32	No verified donor key; platform incomplete mapping; not cell-type-specific	E07	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
GSE8671	BULK PAIRED ADENOMA ASSOCIATION SUPPORT	normal mucosa to adenoma	hereditary background not reported	32 verified matched patients	YES	patient pair	Count once as 32 patient pairs	29	Bulk tissue not epithelial-specific; platform incomplete mapping; does not resolve FAP or sporadic etiology	E08	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
TCGA-COAD	AUXILIARY CANCER ENDPOINT SUPPORT	primary cancer to normal; stage; MSI; CMS; survival	population CRC; hereditary status not used	41 paired patients for cancer-normal; 458 donors total	YES for cancer-normal subset	patient	Count once as auxiliary cancer cohort	34	No adenoma; not evidence of adenoma onset; MSI/CMS are context not progression; not a biomarker validation	E10	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
GSE99573	NEGATIVE EXPLORATORY TRANSLATIONAL RESULT	stool RNA normal; adenoma; cancer	hereditary background not reported	65 independent test participants: 22 normal 20 adenoma 23 CRC	NO	participant	Count once; do not count endpoints or training/test as multiple cohorts	31 mapped; 27 detectable	Locked models were constant or nearly constant; no clinical baseline covariates; test set cannot be reused	E11	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
Figshare 29925404	NOT ESTIMABLE	LST-G; protruded adenoma; normal	FAP status NA; germline APC status NA	7 total patients; 2 same-site matched patients P1 and P5	YES for P1 and P5 only	patient	Count once as one LST-G sensitivity cohort	33/36 primary feature space; 29/36 coverage sensitivity; 32/35 INPP5D-minus available	Only two matched donors; three primary genes absent; hereditary status unknown; LST-G not equivalent to ordinary sporadic adenoma; Stem/progenitor secondary not estimable	E05	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
E-GEAD-622	TECHNICALLY VALID BUT NO BIOLOGICAL RESULT | SKIPPED NOT ESTIMABLE	pTis sections with Normal; Adenoma; Carcinoma; Other regions | patient-level adenoma minus normal spatial estimand	hereditary background not reported	4 patients; 4 FFPE slides | 1 of 4 passed ROI gate; minimum required 3	planned same-section pairing | insufficient eligible pairs	patient for any biological inference; pseudo-spots only for technical validation | patient	Count once as one technical spatial dataset; case4 is not external validation	30	Technical simulations do not supply spatial biological evidence; ROI registration gate later failed in three patients | Three patients failed frozen ROI registration; case3 is excluded and not near-pass evidence; insufficient eligible patients not a negative M02 result	E12;E14	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv
