dataset	stages_using_dataset	project_patient_or_sample_scope	reused_within_project	independent_early_cohort_credit	overlap_audit	known_overlap	residual_overlap_or_independence_risk	counting_rule	permitted_role	stage10i_audit_status	stage10i_maximum_role	audit_source
GSE201348	5A-6A;10C	14_donors_in_primary_discovery;_4_paired_FAP_donors_for_M02	YES	0_additional	Same_accession_and_donor-level_inputs_reused	Stage_10C_is_internal_reanalysis_of_discovery_cohort	Some_public_donor_labels_are_ambiguous_but_not_the_four_paired_M02_donors	Count_once_as_discovery/internal_FAP_evidence	Primary_negative_discovery_and_internal_FAP_exploratory_evidence	PASS_WITH_LIMITATION	Negative primary discovery and internal exploratory FAP evidence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
GSE161277	7;10C	3_fully_matched_early-lesion_patients	YES	1_total	Stage_10C_re-reports_the_same_Stage_7_accession	Exact_same_public_cohort_across_two_stages	De-identified_cross-accession_patient_overlap_not_formally_provable	Count_once_only_regardless_of_stages_or_multiple_contrasts	Small_independent_directional_early-lesion_evidence	PASS_WITH_LIMITATION	Directional underpowered early-lesion evidence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
GSE132465	7	23_total;_8_evaluable_matched_cancer-normal_donors	NO	0_for_adenoma_onset	No_technical_embedding_or_declared_overlap_with_discovery_detected	None_known	De-identified_patient_overlap_not_formally_excludable	Count_once_as_cancer-endpoint_dataset_not_as_early-lesion_replication	Cancer-normal_and_epithelial-specificity_support_only	PASS_WITH_LIMITATION	Cancer endpoint and epithelial specificity context	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
Figshare_29925404	10C2-SC-B;10C3	7_patients;_2_matched_normal-LST-G_donors	YES	1_directional_sensitivity_dataset_not_confirmatory	Archive_contains_only_10_study_matrices;_no_embedded_GSE161277_GSE201348_or_GSE261388_matrix	No_technical_overlap_detected	Unreported_de-identified_patient_overlap_risk_low_but_not_zero	Count_once_as_one_LST-G_sensitivity_cohort	Descriptive_sensitivity_only;_primary_NOT_ESTIMABLE	PASS_WITH_LIMITATION	LST-G descriptive sensitivity only	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
GSE41657	8A;8B	88_sample-scoped_arrays	YES	1_bulk_accession	Analyzed_separately_from_other_platforms	None_known	Patient_identifiers_and_patient_independence_not_recoverable	Count_once_at_accession_level;_do_not_claim_88_verified_independent_patients	Exploratory_bulk_tissue_support	PASS_WITH_MAJOR_LIMITATION	Exploratory bulk tissue association	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
GSE100179	8A;8B	60_sample-scoped_arrays	YES	1_bulk_accession	Analyzed_separately_from_other_platforms	None_known	No_verified_donor-matching_key	Count_once_at_accession_level;_do_not claim_60_verified_independent_patients	Exploratory_bulk_tissue_support	PASS_WITH_MAJOR_LIMITATION	Exploratory bulk tissue association	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
GSE8671	8A;8B	32_verified_normal-adenoma_pairs	YES	1_bulk_accession	Patient_numbers_1_to_32_reconstructed_and_verified	None_known	De-identified_cross-accession_overlap_not_formally_excludable	Count_once_as_32_patient pairs	Paired_bulk_tissue_support	PASS	Paired bulk tissue association	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
TCGA-COAD	8B_auxiliary	458_donors_total;_41_paired_cancer-normal	NO	0_for_adenoma_onset	Independent_TCGA_accession_not_in_early-lesion_meta-analysis	None_known	No_adenoma_endpoint	Count_once_as_auxiliary_cancer cohort	Cancer-normal_and_molecular-context_evidence_only	PASS_WITH_LIMITATION	Cancer-normal and molecular context only	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
GSE99573	9A-9C	65_participant_immutable_test_split;_338_total_manifest_rows	YES	1_negative_test_cohort	Training_and_test_split_locked_within_one_accession	Same_accession_across_feasibility_training_and_one-time_test	Test_set_is_not_a_new_dataset_and_is_retired	Count_once;_do_not_count_endpoints_or_training/test_as_multiple cohorts	Negative_exploratory_stool_translation	PASS	Negative exploratory translation	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
E-GEAD-622	10C2-SP;10D-TECH;10E;10E-R;10E-DESC;10F	4_patients;_only_case4_passed_final_ROI_gate	YES	0_successful_multi-patient_spatial cohorts	Same_four_slides_reused_across_all_spatial_substages	All_spatial_substages_share_E-GEAD-622	Cross-accession_overlap_not_demonstrated_but_not_formally_excluded	Count_once_as_one_technical_spatial_dataset;_case4_is_not_external validation	Technical_QC_plus_single-patient_description;_patient-level_spatial result_NOT_ESTIMABLE	PASS_WITH_MAJOR_LIMITATION	Technical QC and single-patient description only	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv; audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv
