section	source_file	source_sha256	freeze_id	stage	artifact_class	manuscript_placement	claim_ids	storage	path	size_bytes	sha256	evidence_commit	immutable_status	notes
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0001	Project	report_or_provenance	supporting_reproducibility	NA	local_git_worktree	AGENTS.md	2680	6069fbb82da9ff03d5ca9da68649658975596778c9a2d754d9bd5746d14b7fa6	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0002	Project	report_or_provenance	supporting_reproducibility	NA	local_git_worktree	PROJECT_CONSTITUTION.md	9275	5ed4868ea8552ea069f884790dd758fbc8e238fb2426248745bcdc1f88f42c8b	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0003	Project	report_or_provenance	supporting_reproducibility	NA	local_git_worktree	SERVER_EXECUTION_CONTRACT.md	8066	0717e219416a2f03cf8630cb242269f0d3a0e3e4d47cc2088ee206d049a53f6f	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0004	Project	report_or_provenance	supporting_reproducibility	NA	local_git_worktree	STAGE10_PROTOCOL_ADDENDUM.md	15058	d0a784119c2565f02ac9b8a342d851a016152add37953d60981f8088853dd658	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0005	Project	report_or_provenance	supporting_reproducibility	NA	local_git_worktree	STATUS.md	30510	0666766c5c443e946a429ec4ba5089298955662aacef2825ce8ce69c9fe31156	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0006	Stage10I	report_or_provenance	main_or_governance	NA	local_git_worktree	audit/stage10i/STAGE10I_BMC_GENOMICS_FIT.md	3940	f2e7d1828ce0855426f3ac9cc1640882909d86f3ccf009c56efd2f1e717065d8	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0007	Stage10I	tabular_result_or_audit	main_or_governance	NA	local_git_worktree	audit/stage10i/STAGE10I_DATASET_INDEPENDENCE_AUDIT.tsv	3309	f9e6ebe552e7214ec54a47e2fc54187ba17744651cf568b861f115ffe2ea577c	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0008	Stage10I	governance_or_claim_file	main_or_governance	NA	local_git_worktree	audit/stage10i/STAGE10I_DECISION.md	1633	7b11bccaab78f90352d26ebd50bad0e23c87a628e7b9b9c20e2131fa25f19a65	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0009	Stage10I	tabular_result_or_audit	main_or_governance	CLM03;CLM04;CLM05;CLM06;CLM07;CLM08;CLM14;CLM15;CLM16;CLM17;CLM18;CLM19;CLM20;CLM21;CLM22;CLM23	local_git_worktree	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	4225	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0010	Stage10I	tabular_result_or_audit	main_or_governance	NA	local_git_worktree	audit/stage10i/STAGE10I_ISSUES.tsv	4172	5ec757a1d064a6fc9a0c9e6ee136356f69c5fb02cc29e49d4c5dc197a567c2c2	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0011	Stage10I	tabular_result_or_audit	main_or_governance	CLM03;CLM04;CLM05;CLM06;CLM22;CLM23	local_git_worktree	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	5813	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0012	Stage10I	report_or_provenance	main_or_governance	NA	local_git_worktree	audit/stage10i/STAGE10I_RED_TEAM_REPORT.md	7061	20979e8ceee1b6e07b0bb3eb0301ee8d15b3ad2f578baaaaffda4a5872cac562	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0013	Stage10I	report_or_provenance	main_or_governance	NA	local_git_worktree	audit/stage10i/STAGE10I_REPRODUCIBILITY_REPORT.md	3811	1e67e0835a6de17e718f178c5d05a5ccd60afda30f718d5a70cb138b28f290cd	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0014	Stage10I	tabular_result_or_audit	main_or_governance	NA	local_git_worktree	audit/stage10i/STAGE10I_SPATIAL_CLAIM_AUDIT.tsv	1761	108f9614ed2222786a507465e8fd7b02b19e106cde0d1fada2627d7c1703cfc4	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0015	Stage10I	report_or_provenance	main_or_governance	NA	local_git_worktree	audit/stage10i/STAGE10I_STORY_COHERENCE_REVIEW.md	3791	1375bb9e660cb37febb8019367f79a78eeb3be30a5a1326e6e2555edacf64658	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
freeze_manifest	manuscript_freeze/RESULTS_FREEZE_MANIFEST.tsv	25a0bdbdfbf8b6f93d9b2c7d748f724ebd9c62780a8a74bc822a94d85a55fde6	F0016	Stage10I	report_or_provenance	main_or_governance	NA	local_git_worktree	audit/stage10i/recompute/CORE_FIGURE_RECOMPUTED.pdf	4955	6f62aaacdacfa3600444e414c854b1b1d588c95dff6006c18ba333dc0344b036	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
